Name,Score,Assist,Defenses,Touches,Flick Thows,Backhand throws,Breaks,Broken,Cuts,Turns,Drops,Hammer,Scoober,Cuts + Catch,Scored On :(
Adam,1,,,,,,,,1,,,,,1,
Diego,,,,1,,1,,,,,,,,,
Fudge,,,,,,,,,,,,,,,
Gaines,,1,,1,1,,,,1,,,,,1,
Hankin,,,,,,,,,,,,,,,
Nelson,,,,1,,1,,,,,,,,,
Ross,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Broken Sequence,,,,,,,,,,,,,,,
Break Sequence,,,,,,,,,,,,,,,
Defense Scheme ,Man,Middle,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Started,Offense,,,,,,,,,,,,,,
Time,0:18,,,,,,,,,,,,,,
Pull Play,Brown,10,Gaines/Adam,S,,,,,,,,,,,
