Adam,1,,,14,1,13,3,,2,,,,,2,
Diego,,1,1,7,,1,,,4,,,,,2,
Fudge,,,,5,,5,,,16,1,,,,3,
Gaines,,,,22,5,17,3,,,2,,,,,
Hankin,,,,4,,4,1,,19,,,,,3,
Matt,,,,1,,1,,1,16,,,,,1,
McFerran,,,,1,,1,,1,11,,,,,1,
,,,,,,,,,,,,,,,
Name,Score,Assist,Defenses,Touches,Flick Thows,Backhand throws,Breaks,Broken,Cuts,Turns,Drops,Hammer,Scoober,Cuts + Catch,Scored On :(
,,,,,,,,,,,,,,,
Broken Sequence,2,,,,,,,,,,,,,,
Break Sequence,1,1,1,1,1,-1,1,,,,,,,,
Defense Scheme ,Zone(Wall),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Started Offense,,,,,,,,,,,,,,,
Time,8:19,,,,,,,,,,,,,,
Pull Play,Pitt Sweep (2),Adam,S,,,,,,,,,,,,
