Adam,,,,2,,2,1,,1,,,,,1,
Diego,,,,1,,1,,,,,,,,,
Fudge,,,,,,,,,1,,,,,,
Gaines,,,,1,1,,,,,,,,,,
Hankin,1,,,2,,2,1,,4,,,,,3,
McFerran,,,,1,,1,,,2,,,,,1,
Nelson,,1,,1,,1,1,,1,,,,,1,
,,,,,,,,,,,,,,,
Name,Score,Assist,Defenses,Touches,Flick Thows,Backhand throws,Breaks,Broken,Cuts,Turns,Drops,Hammer,Scoober,Cuts + Catch,Scored On :(
,,,,,,,,,,,,,,,
Broken Sequence,2,1,,,,,,,,,,,,,
Break Sequence,,,,,,,,,,,,,,,
Defense Scheme ,Man(Middle),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Started Offense,,,,,,,,,,,,,,,
Time,0:39,,,,,,,,,,,,,,
Pull Play,,Hankin/Adam,S,,,,,,,,,,,,
,(1) Deep/ (5) Under?,,,,,,,,,,,,,,
