Adam,,,,2,1,1,1,,1,1,,,,1,
Adrian,,,,,,,,,2,,,,,,1
Andrew,,,,,,,,,2,,,,,,
Carlin,,,,,,,,,1,,,,,,
Hankin,,,,3,1,2,2,1,2,,,,,1,
Reese,,,,,,,,,3,,,,,,
Trevyr,,,,2,,2,,,1,,,,,1,
,,,,,,,,,,,,,,,
Name,Score,Assist,Defenses,Touches,Flick Thows,Backhand throws,Breaks,Broken,Cuts,Turns,Drops,Hammer,Scoober,Cuts + Catch,Scored On :(
,,,,,,,,,,,,,,,
Broken Sequence,-1,,,,,,,,,,,,,,
Break Sequence,2,1,,,,,,,,,,,,,
Defense Scheme (Man),Man (Flick),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Started Defense,,,,,,,,,,,,,,,
Time,1:17,,,,,,,,,,,,,,
