Name,Score,Assist,Defenses,Touches,Flick Thows,Backhand throws,Breaks,Broken,Cuts,Turns,Drops,Hammer,Scoober,Cuts + Catch,Scored On :(
Adam,,,1,3,2,1,,1,2,,,,,1,
Fudge,,,,,,,,1,2,,,,,,
Gaines,,,1,3,3,,,1,1,2,,,,,
Hankin,,,,,,,,,4,,,,,,
McFerran,1,,,2,2,,,,1,1,,,,1,
Nelson,,1,1,1,1,,,,2,,,,,1,
Trevyr,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Broken Sequence,2,1,,,,,,,,,,,,,
Break Sequence,,,,,,,,,,,,,,,
Defense Scheme ,Man,Flick,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Started,Offense,,,,,,,,,,,,,,
Time,4:08,,,,,,,,,,,,,,
Pull Play,Manbuddy,10,Adam/Hankin,T,,,,,,,,,,,
